SELECT sk.state_name, EXTRACT(YEAR FROM cc.date_of_decision) AS disposal_year, COUNT(cc.ddl_case_id) AS disposed_cases
FROM cases_clean cc
JOIN state_key sk ON cc.state_code = sk.state_code AND cc.year = sk.year
WHERE cc.date_of_decision IS NOT NULL
GROUP BY sk.state_name, disposal_year
ORDER BY sk.state_name, disposal_year;
    state_name      disposal_year  disposed_cases
 Punjab                      2017          520436
 Punjab                      2018          531094
 Rajasthan                   2010            1555
 Rajasthan                   2011            7550
 Rajasthan                   2012           57190
 Rajasthan                   2013          292410
 Rajasthan                   2014          293984
 Rajasthan                   2015          426516
 Rajasthan                   2016          437440
 Rajasthan                   2017          785296
 Rajasthan                   2018          775417
 Sikkim                      2010              18
 Sikkim                      2011              69
 Sikkim                      2012             247
 Sikkim                      2013            3528
 Sikkim                      2014            4760
 Sikkim                      2015            4483
 Sikkim                      2016            4953
 Sikkim                      2017            4531
 Sikkim                      2018            4374
 Tamil Nadu                  2010           11136
 Tamil Nadu                  2011           41513
 Tamil Nadu                  2012          100771
 Tamil Nadu                  2013          182503
 Tamil Nadu                  2014          274444
 Tamil Nadu                  2015          335800
 Tamil Nadu                  2016          418792
 Tamil Nadu                  2017          564154
 Tamil Nadu                  2018          647276
 Telangana                   2010            6629
 Telangana                   2011           34462
 Telangana                   2012           76563
 Telangana                   2013          100034
 Telangana                   2014          135425
 Telangana                   2015          142652
 Telangana                   2016          145151
 Telangana                   2017          201638
 Telangana                   2018          230773
 Tripura                     2010             391
 Tripura                     2011            3055
 Tripura                     2012            5072
 Tripura                     2013            9020
 Tripura                     2014           10834
 Tripura                     2015           11432
 Tripura                     2016           12984
 Tripura                     2017           13264
 Tripura                     2018           14021
 Uttarakhand                 2010            4960
 Uttarakhand                 2011           12572
 Uttarakhand                 2012           14492
 Uttarakhand                 2013           75928
 Uttarakhand                 2014           90668
 Uttarakhand                 2015           78344
 Uttarakhand                 2016           76719
 Uttarakhand                 2017           89261
 Uttarakhand                 2018          104443
 Uttar Pradesh               2010            4540
 Uttar Pradesh               2011           51117
 Uttar Pradesh               2012          251987
 Uttar Pradesh               2013          478232
 Uttar Pradesh               2014          669220
 Uttar Pradesh               2015         1158012
 Uttar Pradesh               2016         1529997
 Uttar Pradesh               2017         2010357
 Uttar Pradesh               2018         2040814
 West Bengal                 2010            3721
 West Bengal                 2011           26927
 West Bengal                 2012           71115
 West Bengal                 2013          125974
 West Bengal                 2014          129287
 West Bengal                 2015          197538
 West Bengal                 2016          234494
 West Bengal                 2017          313316
 West Bengal                 2018          424196
